"","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"0",66958.13,67443.19,66700.24,65961.63,66035.44,65876.02,65457.03,65527.78,64801.41,63104.84,60476.59,57133.1,55044.6,54302.89,54480.92,56151.51,58242.07,59646.3,60473.26,61582.94,64597.19,67685.63,70484.08,75212.61,78295.04,82960.75,89968.35,90611.56,90205.35,93871.95,97116.58,99425.06,101131.28,101975.16,103665.78,106439.95,108999.61,111414.35,113731.79,116351.37,119055.96,119820.41,118955.82,117131.2,114742.23,114246.49,115885.13,119021.32,123275.29,127699.95,132742.1,134479.89,130426.6,125187.1,120602.93,116919.57,115521.13,114996.85,114332.58,115245.03,118018.57,121154.16,122911.99,123056,122943.32,123164.78,124224.4,125989.11,128458.8,131227.33,132628.83,132722.06,132523.7,132386.14,131859.42,130896.02,129715.83,128666.33,128422.12,128724.52,128652.68,128069.68,128221.21,129901.62,132900.88,138066.07,144572.3,149140.53,151432.13,151640.39,150952.73
"1",62092.83,65023.15,65890.56,65135.32,64511.69,64717.01,64610.39,64113.22,64088.96,63429.58,61901.35,59468.3,56268.01,54229.58,53479.14,53686.56,55392.23,57488.98,58861.15,59710.07,60864.21,63851.84,66864.85,69598.2,74303.29,77332.08,82092.86,89479.23,90790.82,90918.15,94421.17,97161.89,99188.98,100959.81,101931.78,103564.8,106265.98,108838.54,111314.55,113636.88,116191.01,118837.45,119700.58,119024.47,117631.25,115450.12,114623.08,116186.18,119466.32,123951.43,128699.27,133361.12,134620.56,130775.13,125347.45,120263.97,116781.13,115628.29,115081.29,114672.48,115896.34,118663.24,121489.79,123007.49,123255.35,123533.65,124118.15,125239.67,126936.54,129188.1,131668.49,132771.67,132552.23,132426.85,132529.26,132182.27,131308.22,130212.74,129285.15,129281.76,129689.17,129404.07,128760.16,129000.86,130687.8,133855.53,139155.94,145125.77,148863.54,150447.51,150887.17
"2",59355.89,61619.54,64685.96,65625.35,64972.28,64400.66,64553.89,64322.67,63675.49,63552.27,62920.6,61470.04,59087.34,55937.76,53947.62,53223.78,53430.31,55162.19,57283.64,58680.69,59604.73,60732.48,63544.42,66483.69,69192,73849.61,77029.59,82241.62,90505.08,92640.39,92636.95,95414.23,97733.35,99786.99,101707.22,102703.66,104261.89,106887.99,109486.5,112037.11,114283.87,116688.5,119436.7,120600.19,120313.49,119073.27,116543.7,115658.1,117630.58,121785.65,126773.96,130616.3,134526.23,135577.57,131575.34,126222.99,121099.99,117475.91,116207.91,115785.2,115747.36,117113.12,119580.08,122084.8,123613.72,124077.85,124717.77,125611.83,126625.34,128021.89,130068.25,132280.92,133059.36,132741.77,132788.56,133145.7,133004.41,132142.15,130976.83,130152.04,130243.33,130589.25,130285.95,129710.86,130112.87,132162.6,135922.74,141232.36,146259.17,149089.43,150793.9
"3",59481.99,59179.3,61568.46,64660.64,65649.83,65022.03,64450.45,64552.96,64196.58,63399.25,63176.38,62570.66,61194.81,58837.21,55712.85,53747.32,53048.66,53305.25,55061.55,57208.4,58655.62,59553.92,60606.88,63418.45,66357.86,69016.21,73724.79,77281.64,83421.18,92531.59,94461.61,93708.88,96088.12,98433.83,100661.96,102581.03,103452.92,104961.14,107587.4,110186.19,112661.19,114833.56,117389.21,120437.82,122017.21,121932.62,120358.84,117692.03,117107.58,119995.39,124631.89,128452.52,131667.11,135776.6,136434.69,132051.64,126722.78,121821.2,118289.47,117028.58,116841.07,116944.73,118061.16,120275.05,122832.28,124623.96,125401.54,126351.8,127278.71,127884.48,128878.49,130705.63,132763.26,133490.52,133194.32,133386.91,133967.88,133912.13,133029.53,131897.57,131117.71,131159.64,131497.96,131316.85,130910.89,131587.02,134060.67,138243.82,143242.82,147189.39,149781.18
"4",60384.61,59345.15,59129.1,61543.39,64735.93,65824.95,65196.64,64499.08,64401.91,63920.95,63124.01,62951.39,62370.43,61019.81,58712.31,55637.96,53697.02,52998.55,53305.43,55136.44,57283.19,58629.76,59403.35,60406.65,63218.41,66182.91,68941.53,73926.21,78185.5,85098.2,94229.39,95659.38,94557.87,96938.57,99459.04,101660.84,103430.53,104252.67,105761.04,108412.13,110960.39,113335.69,115634.62,118465.22,121871.74,123655.82,123279.84,121523.34,119023.97,119260.58,122688.95,126168.97,129195.4,132797.49,136895.01,137039.79,132375.04,127164.25,122558.37,119305.94,118214.26,118041.38,117900.5,118815.71,121131.13,123876.43,125910.92,126988.66,128069.49,128805.58,128972.95,129539,131148.95,133267.01,134095.4,133849.7,134193.78,134934.9,134932.99,134041.04,132867.24,132058.52,132152.37,132589.09,132524.86,132289.87,133273.82,136122.19,140499.08,145051.37,148449.12
"5",61143.64,60247.57,59295.25,59204.43,61717.76,64935.53,65999.34,65270.63,64423.22,64200.96,63670.7,62898.97,62750.96,62195.37,60920,58662.08,55562.56,53622,52973.52,53330.28,55186.25,57282.45,58554.36,59303.07,60306.36,63117.95,66133.12,69117.51,74603.72,79412.24,86497.28,95402.54,96558.32,95483.54,98038.53,100482.69,102510.01,104230.1,105027.34,106536.02,109161.48,111609.62,114061.54,116635.74,119871.91,123459.36,124923.25,124416.29,122850.06,121091.35,121728.02,123993.42,126691.97,129951.31,133710.41,137716.46,137579.68,132767.63,127699.66,123540.17,120667.28,119426.04,118834.34,118509,119595.96,122139.49,125048.18,127313.14,128477.5,129462.35,130030.27,129795.6,130005.08,131630.78,133944.04,134941.92,134815.88,135213.04,136005.96,136068.82,135087.98,133789.23,133036.95,133253.78,133835.23,133956.79,133938.71,135246.56,138305.29,142655.59,147136.44
"6",61937.28,61071.38,60297.87,59395.23,59304.4,61842.73,65110.82,66174.13,65345.01,64322.33,63975.79,63445.88,62724.08,62626.19,62095.34,60819.89,58587.31,55537.74,53621.9,52998.65,53380.18,55185.74,57207.09,58454.14,59203.06,60180.93,63018.41,66309.9,69794.66,75704.96,80586.56,87496.37,96277.45,97483.91,96533.91,99037.59,101332.39,103309.95,105055.42,105877.35,107285.07,109786.42,112335.74,115037.6,117997.43,121454.43,124733.86,126047.66,125748.95,124927.67,123672.81,123169.1,124436.32,127226.39,130532.3,134303.97,138357.82,138060.15,133117,128368.75,124726.67,121894.81,120277.54,119492.42,119332.1,120758.34,123573.57,126554.9,128766.37,129771.66,130515.02,130754.34,130219.9,130412.6,132282.59,134812.51,135905.54,135871.06,136325.08,137150.7,137152.23,135977.12,134631.33,134035.32,134432.4,135202.27,135509.02,135636.35,137004.16,140090.59,144477.76
"7",61490.45,61923.01,61146.17,60322.65,59445.67,59479.99,62092.48,65285.1,66173.2,65194.58,64147.57,63850.93,63320.63,62548.76,62451.27,61970.49,60719.84,58512.5,55512.95,53647.03,53073.78,53454.93,55210.48,57181.85,58353.66,59027.57,60056.61,63169.9,66886.67,70720.83,76729.67,81510.79,88295.88,97128.14,98534.68,97583.07,99911.9,102132.28,104109.92,105855.31,106601.71,107909.87,110461.98,113186.29,116273.62,119465.72,122616.8,125775.16,127339.88,127826.62,127449.61,125092.74,123676.22,124899.6,127619.64,130855.64,134789.11,138938.3,138456.06,133623.51,129331.22,125882.35,122749.13,120802.38,120112.33,120279.31,122071.77,125116.75,127930.91,129882.15,130714.69,131171.92,131162.84,130636.95,131017.38,133010.7,135568,136793.75,136921.13,137459.77,138239.62,137998.78,136679.47,135473.99,135106.35,135647.47,136533.32,137003.23,137184.92,138492.52,141565.52
"8",59733.31,61482.31,61997.77,61221.33,60473.07,59645.62,59679.94,62292.78,65434.6,66197.57,65119.4,64022.28,63700.88,63170.63,62398.78,62326.43,61870.49,60644.94,58512.9,55588.14,53747.02,53123.38,53404.49,55110.34,57081.72,58253.49,59003.2,60282.94,63771.4,67787.48,71695.54,77578.8,82185.26,89021.72,98104.06,99584.22,98507.39,100736.9,102932.21,104909.93,106579.65,107226.44,108610.64,111387.93,114422.51,117670.12,120641.41,123666.07,127021.14,129425.24,130520.22,129069.03,125718.41,124237.62,125225.23,127843.83,131249.03,135275.28,139455.6,139063.11,134508.19,130379.59,126715.34,123355.18,121436.66,121036.04,121543.68,123559.88,126597.01,129067.08,130752.06,131385.78,131549.42,131537.39,131215.1,131757.1,133753.61,136279.07,137708.1,138084.31,138548.4,139068.3,138697.52,137452.52,136513.34,136382.57,137014.26,138031.1,138502.91,138553.33,139898.57
"9",57924.33,59733.89,61582.11,62122.95,61396.52,60698.23,59946.03,60004.73,62491.67,65484.18,66172.39,65044.13,63922.26,63626.04,63120.59,62323.55,62226.44,61820.85,60695.37,58612.9,55688.12,53796.63,53098.18,53379.67,55085.04,57031.72,58254.03,59204.42,60834.59,64597.12,68687.49,72519.7,78253.14,82885.89,89922.51,99078.79,100483.83,99332.21,101536.74,103732.13,105634.28,107179.25,107851.92,109436.78,112535.24,115733.1,118814.06,121717.64,124867.29,129010.4,132002.89,132119.54,129774.37,126324.32,124629.96,125398.41,128156.13,131736.39,135807.99,140195.22,140148.94,135748.61,131267.26,127253.9,123956.76,122281.56,122238.97,123017.29,125054.19,127865.25,129974.42,131410.04,131811.08,131882.58,132048.66,131907.21,132499.49,134467.09,137059.77,138766.71,139264.58,139472.9,139807.62,139524.73,138426.48,137695.81,137795.66,138503.73,139422.91,139757.05,139824.66
